epoch,accuracy,dice_metric,loss,val_accuracy,val_dice_metric,val_loss
0,0.8356825113296509,0.8586805462837219,0.35307979583740234,0.8410041332244873,0.8588607311248779,0.3750336468219757
1,0.8723734617233276,0.8811202049255371,0.29725754261016846,0.8351461291313171,0.8605190515518188,0.39266759157180786
2,0.8807428479194641,0.8885813355445862,0.2801447808742523,0.8346798419952393,0.8607459664344788,0.36571183800697327
3,0.8833918571472168,0.8918377757072449,0.2712782025337219,0.8180773258209229,0.8491434454917908,0.3998216390609741
4,0.8833913207054138,0.8914297223091125,0.27095869183540344,0.8282181024551392,0.8568105697631836,0.3737587034702301
5,0.8846462965011597,0.8929262161254883,0.26826563477516174,0.8504632115364075,0.8702952861785889,0.334564745426178
6,0.8835675120353699,0.8911733627319336,0.2707882225513458,0.7945132255554199,0.8368837237358093,0.43620333075523376
7,0.8844086527824402,0.8926435112953186,0.26866087317466736,0.8545862436294556,0.8726463913917542,0.32938525080680847
8,0.8836379647254944,0.89170241355896,0.268635094165802,0.832606852054596,0.8589895367622375,0.41492760181427
9,0.8844428658485413,0.892157793045044,0.2684705853462219,0.781978964805603,0.829079806804657,0.47177359461784363
10,0.8841729760169983,0.8924909830093384,0.26848074793815613,0.8019009828567505,0.8407400250434875,0.43033072352409363
11,0.8841736912727356,0.8921720385551453,0.267716646194458,0.8525392413139343,0.8717597723007202,0.33510714769363403
12,0.8843459486961365,0.8922262191772461,0.2675376832485199,0.8360374569892883,0.8612313866615295,0.35270437598228455
13,0.8842540383338928,0.8921855092048645,0.2681506872177124,0.8178443908691406,0.8494564294815063,0.4009355306625366
14,0.8846328854560852,0.8924340009689331,0.2674185335636139,0.8276712894439697,0.8565353751182556,0.38228222727775574
15,0.8843531608581543,0.8923571705818176,0.2670876085758209,0.8442898988723755,0.8667789101600647,0.34481605887413025
16,0.8839173913002014,0.8922083973884583,0.2681023180484772,0.8371947407722473,0.8626700043678284,0.36890313029289246
17,0.8847830295562744,0.8926658630371094,0.26585614681243896,0.8291001915931702,0.8575288653373718,0.3768964409828186
18,0.884919285774231,0.8924440145492554,0.26591289043426514,0.8298369646072388,0.8578673005104065,0.3826833963394165
19,0.8845846056938171,0.8925550580024719,0.2668055295944214,0.8201603889465332,0.8520078063011169,0.389701783657074
20,0.8846572041511536,0.8929257988929749,0.2660215198993683,0.8422515392303467,0.8656637668609619,0.3506702780723572
21,0.8851954340934753,0.893042802810669,0.2658196985721588,0.8226760029792786,0.8533165454864502,0.3746050298213959
22,0.885034441947937,0.8925401568412781,0.2656953036785126,0.8557509183883667,0.8738760352134705,0.33392390608787537
23,0.8847960233688354,0.8925252556800842,0.26691198348999023,0.8505322337150574,0.8704802989959717,0.33560314774513245
24,0.8845412731170654,0.8923043012619019,0.2671743929386139,0.8034645318984985,0.8418853878974915,0.41755300760269165
25,0.8851210474967957,0.8933741450309753,0.26491105556488037,0.8380306363105774,0.8633456826210022,0.3753073513507843
26,0.8849268555641174,0.8930975198745728,0.2656079828739166,0.8250487446784973,0.8543914556503296,0.39001691341400146
27,0.8845322132110596,0.89239901304245,0.26624682545661926,0.8180663585662842,0.8504484295845032,0.3766856789588928
